Table_Name;Column_Name;PK_Flag;FK_Flag;Native_Type;Sequence;T_Size;T_Precision;T_Scale
dimCandidato;sk_candidato;P;;BIGINT;1;;;
dimCandidato;cd_inscricao;;;BIGINT;2;;;
dimCandidato;ds_idade;;;INTEGER;3;;;
dimCandidato;ds_sexo;;;VARCHAR;4;1;;
dimCandidato;ds_estado_civil;;;VARCHAR;5;50;;
dimCandidato;ds_cor_raca;;;VARCHAR;6;50;;
dimCandidato;ds_nacionalidade;;;VARCHAR;7;30;;
dimCandidato;ds_treineiro;;;VARCHAR;8;3;;
dimCandidato;ds_status_redacao;;;VARCHAR;9;50;;
dimCandidato;ds_tipo_lingua;;;VARCHAR;10;50;;
dimCandidato;ds_cegueira;;;VARCHAR;11;3;;
dimCandidato;ds_surdez;;;VARCHAR;12;3;;
dimCandidato;ds_def_auditiva;;;VARCHAR;13;3;;
dimCandidato;ds_surdo_cegueira;;;VARCHAR;14;3;;
dimCandidato;ds_deficiencia_fisica;;;VARCHAR;15;3;;
dimCandidato;ds_deficiencia_mental;;;VARCHAR;16;3;;
dimCandidato;ds_deficit_atencao;;;VARCHAR;17;3;;
dimCandidato;ds_dislexia;;;VARCHAR;18;3;;
dimCandidato;ds_discalculia;;;VARCHAR;19;3;;
dimCandidato;ds_autismo;;;VARCHAR;20;3;;
dimCandidato;ds_visao_monocular;;;VARCHAR;21;3;;
dimCandidato;ds_outra_def;;;VARCHAR;22;3;;
dimCandidato;ds_renda;;;VARCHAR;23;150;;
dimCandidato;ds_moradores_residencia;;;VARCHAR;24;50;;
dimCandidato;ds_computador_casa;;;VARCHAR;25;30;;
dimCandidato;ds_acesso_internet;;;VARCHAR;26;4;;
dimCandidato;sk_estado_residencia;;F;INTEGER;27;;;
dimCandidato;sk_estado_nascimento;;F;INTEGER;28;;;
dimCandidato;sk_municipio_residencia;;F;INTEGER;29;;;
dimCandidato;sk_municipio_nascimento;;F;INTEGER;30;;;
dimCandidato;dt_inclusao;;;DATETIME;31;;;
dimCandidato;dt_alteracao;;;DATETIME;32;;;
dimEscola;sk_Escola;P;;INTEGER;1;;;
dimEscola;ds_tipo_escola;;;VARCHAR;2;20;;
dimEscola;ds_tipo_localizacao_escola;;;VARCHAR;3;20;;
dimEscola;ds_tipo_situacao_escola;;;VARCHAR;4;30;;
dimEscola;sk_municipio;;F;INTEGER;5;;;
dimEscola;sk_estado;;F;INTEGER;6;;;
dimEscola;dt_inclusao;;;DATETIME;7;;;
dimEscola;dt_alteracao;;;DATETIME;8;;;
dimEstado;sk_estado;P;;INTEGER;1;;;
dimEstado;cd_estado;;;INTEGER;2;;;
dimEstado;sg_estado;;;VARCHAR;3;2;;
dimEstado;ds_estado;;;VARCHAR;4;50;;
dimEstado;ds_capital;;;VARCHAR;5;50;;
dimEstado;dt_inclusao;;;DATETIME;6;;;
dimEstado;dt_alteracao;;;DATETIME;7;;;
dimMunicipio;sk_municipio;P;;INTEGER;1;;;
dimMunicipio;cd_municipio;;;INTEGER;2;;;
dimMunicipio;ds_municipio;;;VARCHAR;3;150;;
dimMunicipio;gentilico;;;VARCHAR;4;50;;
dimMunicipio;Lat;;;VARCHAR;5;50;;
dimMunicipio;Long;;;VARCHAR;6;50;;
dimMunicipio;sk_estado;;F;INTEGER;7;;;
dimMunicipio;dt_inclusao;;;DATETIME;8;;;
dimMunicipio;dt_alteracao;;;DATETIME;9;;;
fatIbgeMunicipios;vl_area_territorial;;;FLOAT;1;;;
fatIbgeMunicipios;vl_populacao_estimada;;;INTEGER;2;;;
fatIbgeMunicipios;vl_densidade_demografica;;;FLOAT;3;;;
fatIbgeMunicipios;vl_escolarizacao_6a14anos;;;FLOAT;4;;;
fatIbgeMunicipios;vl_idhm;;;FLOAT;5;;;
fatIbgeMunicipios;vl_mortalidade_infantil;;;FLOAT;6;;;
fatIbgeMunicipios;vl_pib_percapta;;;FLOAT;7;;;
fatIbgeMunicipios;ano_ibge;;;INTEGER;8;;;
fatIbgeMunicipios;sk_municipio;;F;INTEGER;9;;;
ftEnem;vl_nota_ciencias_natureza;;;FLOAT;1;;;
ftEnem;vl_nota_ciencias_humanas;;;FLOAT;2;;;
ftEnem;vl_nota_linguagens_e_codigos;;;FLOAT;3;;;
ftEnem;vl_nota_matematica;;;FLOAT;4;;;
ftEnem;vl_nota_redacao;;;FLOAT;5;;;
ftEnem;nu_ano_prova;;;INTEGER;6;;;
ftEnem;sk_candidato;;F;BIGINT;7;;;
ftEnem;sk_Escola;;F;INTEGER;8;;;
ftEnem;sk_municipio_prova;;F;INTEGER;9;;;
ftEnem;sk_estado_prova;;F;INTEGER;10;;;
ftIbgeEstados;vl_area_territorial;;;NUMERIC;1;;28;4
ftIbgeEstados;vl_populacao_estimada;;;BIGINT;2;;;
ftIbgeEstados;vl_desnsidade_demografica;;;FLOAT;3;;;
ftIbgeEstados;vl_idh;;;FLOAT;4;;;
ftIbgeEstados;vl_rendimento_mensal_percapta;;;FLOAT;5;;;
ftIbgeEstados;ano_ibge;;;INTEGER;6;;;
ftIbgeEstados;sk_estado;;F;INTEGER;7;;;
